2020,AnimalEthicsProject,CAAmt,Employee2000,Employee2001,Employee2002,Employee2003,Employee2004,Employee2005,Employee2006,Employee2007,Employee2008,Employee2009,Employee2010,Employee2011,Employee2012,Employee2013,Employee2014,Employee2015,Employee2016,Employee2017,Employee2018,Employee2019,Employee2020,Employee2021,Employee2022,EmployeeGrowthPct2000,EmployeeGrowthPct2001,EmployeeGrowthPct2002,EmployeeGrowthPct2003,EmployeeGrowthPct2004,EmployeeGrowthPct2005,EmployeeGrowthPct2006,EmployeeGrowthPct2007,EmployeeGrowthPct2008,EmployeeGrowthPct2009,EmployeeGrowthPct2010,EmployeeGrowthPct2011,EmployeeGrowthPct2012,EmployeeGrowthPct2013,EmployeeGrowthPct2014,EmployeeGrowthPct2015,EmployeeGrowthPct2016,EmployeeGrowthPct2017,EmployeeGrowthPct2018,EmployeeGrowthPct2019,EmployeeGrowthPct2020,EmployeeGrowthPct2021,EmployeeGrowthPct2022,FinancialMonitoringRating,HumanEthicsProject,IncorporationYear,InternationalProject,NoteText,NoteType,OrgID,OrgName,OrganizationID,ProjectCompleteDate,ProjectNo,ProjectStartDate,ProjectType,Province,Revenue2000,Revenue2001,Revenue2002,Revenue2003,Revenue2004,Revenue2005,Revenue2006,Revenue2007,Revenue2008,Revenue2009,Revenue2010,Revenue2011,Revenue2012,Revenue2013,Revenue2014,Revenue2015,Revenue2016,Revenue2017,Revenue2018,Revenue2019,Revenue2020,Revenue2021,Revenue2022,RevenueGrowthPct2000,RevenueGrowthPct2001,RevenueGrowthPct2002,RevenueGrowthPct2003,RevenueGrowthPct2004,RevenueGrowthPct2005,RevenueGrowthPct2006,RevenueGrowthPct2007,RevenueGrowthPct2008,RevenueGrowthPct2009,RevenueGrowthPct2010,RevenueGrowthPct2011,RevenueGrowthPct2012,RevenueGrowthPct2013,RevenueGrowthPct2014,RevenueGrowthPct2015,RevenueGrowthPct2016,RevenueGrowthPct2017,RevenueGrowthPct2018,RevenueGrowthPct2019,RevenueGrowthPct2020,RevenueGrowthPct2021,RevenueGrowthPct2022
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 1,BusinessCaseSummary,0,0,0,2009-08-30 20:00,0,2007-09-30 20:00,IRAP,BC,,,,,,,94080.78814,12927.00382,21031.20007,62897.35178,41399.97374,1671.22317,50872.04633,5630.637626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 2,BusinessCaseSummary,0,0,0,2009-08-31 20:00,0,2007-10-01 20:00,IRAP,BC,,,,,,,49533.99066,88460.80294,8873.803651,29265.47147,58208.87285,39782.02514,88794.43229,80336.29572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 3,BusinessCaseSummary,0,0,0,2009-09-01 20:00,0,2007-10-02 20:00,IRAP,BC,,,,,,,72340.20071,95011.57083,98439.0794,63117.56279,92655.4013,43465.96898,77142.68096,94854.70872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 4,BusinessCaseSummary,0,0,0,2009-09-02 20:00,0,2007-10-03 20:00,IRAP,BC,,,,,,,47471.99284,62673.39837,32934.18594,32193.70232,58943.38347,37356.87226,71648.9758,46779.50052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 5,BusinessCaseSummary,0,0,0,2009-09-03 20:00,0,2007-10-04 20:00,IRAP,SK,,,,,,,23913.60986,60903.43533,64608.94986,45524.92214,50616.93216,23812.83245,26926.8492,70377.79098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 6,BusinessCaseSummary,0,0,0,2009-09-04 20:00,0,2007-10-05 20:00,IRAP,BC,,,,,,,78640.95483,70607.15922,97223.65779,21991.4886,63686.5832,78858.45296,5471.296958,22549.10981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 7,BusinessCaseSummary,0,0,0,2009-09-05 20:00,0,2007-10-06 20:00,IRAP,BC,,,,,,,1339.428155,65703.2849,25807.28929,56746.91398,68986.09615,89393.29637,78116.91865,31918.60205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 8,BusinessCaseSummary,0,0,0,2009-09-06 20:00,0,2007-10-07 20:00,IRAP,YT,,,,,,,68767.18069,19487.50006,8335.623106,35512.70286,35803.93831,24796.90776,49279.10582,54642.74978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 9,BusinessCaseSummary,0,0,0,2009-09-07 20:00,0,2007-10-08 20:00,IRAP,BC,,,,,,,70620.08743,99860.14505,75015.34262,91373.3659,19740.60984,29433.91766,91127.62585,94355.34679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 10,BusinessCaseSummary,0,0,0,2009-09-08 20:00,0,2007-10-09 20:00,IRAP,BC,,,,,,,56672.21105,88945.67026,71170.40318,34046.9043,60542.03239,52265.62352,22762.01462,73238.42175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 11,BusinessCaseSummary,0,0,0,2009-09-09 20:00,0,2007-10-10 20:00,IRAP,BC,,,,,,,52283.04024,40576.44664,17789.88601,37505.91889,23049.89986,74201.39437,31753.32727,83936.94083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 12,BusinessCaseSummary,0,0,0,2009-09-10 20:00,0,2007-10-11 20:00,IRAP,BC,,,,,,,60609.20936,96442.04666,48210.21948,13377.07561,69520.5321,31337.71551,30143.60659,30587.91885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 13,BusinessCaseSummary,0,0,0,2009-09-11 20:00,0,2007-10-12 20:00,IRAP,ON,,,,,,,53513.64214,74359.92085,73507.78399,24187.70861,40517.25871,25599.51054,77988.44654,46312.48114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 14,BusinessCaseSummary,0,0,0,2009-09-12 20:00,0,2007-10-13 20:00,IRAP,BC,,,,,,,9069.317553,86664.94371,96574.08147,42783.08878,14048.75135,55390.10292,79750.84507,11565.80083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 15,BusinessCaseSummary,0,0,0,2009-09-13 20:00,0,2007-10-14 20:00,IRAP,BC,,,,,,,40578.65439,54046.84202,40374.31651,7941.018118,64735.21954,59934.93782,3447.044962,94533.4495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 16,BusinessCaseSummary,0,0,0,2009-09-14 20:00,0,2007-10-15 20:00,IRAP,BC,,,,,,,11640.29534,55862.81193,44502.69526,46998.86792,12956.43172,99339.28437,73384.79276,48533.92477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 17,BusinessCaseSummary,0,0,0,2009-09-15 20:00,0,2007-10-16 20:00,IRAP,BC,,,,,,,77128.82521,29420.4041,40661.04926,79968.26207,26617.54304,14227.51074,36310.78142,22791.70443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 18,BusinessCaseSummary,0,0,0,2009-09-16 20:00,0,2007-10-17 20:00,IRAP,BC,,,,,,,26008.25207,14185.14893,9229.064375,51148.88263,41948.83049,12513.19845,43054.56152,79752.85499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 19,BusinessCaseSummary,0,0,0,2009-09-17 20:00,0,2007-10-18 20:00,IRAP,BC,,,,,,,38828.59784,18579.29894,88132.95249,70189.78973,60102.28775,61443.9869,86840.23508,38106.24802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 20,BusinessCaseSummary,0,0,0,2009-09-18 20:00,0,2007-10-19 20:00,IRAP,BC,,,,,,,11468.17151,12165.46962,28834.55239,34133.06337,39326.6028,76977.85523,99163.24164,35632.94872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 21,BusinessCaseSummary,0,0,0,2009-09-19 20:00,0,2007-10-20 20:00,IRAP,BC,,,,,,,39718.44707,64796.39976,4846.836541,91562.02127,8039.953357,69382.49171,84567.0506,1913.039736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 22,BusinessCaseSummary,0,0,0,2009-09-20 20:00,0,2007-10-21 20:00,IRAP,BC,,,,,,,32402.42296,26909.69421,33208.48567,49087.26264,1390.343544,97199.66978,91457.18304,1391.949629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 23,BusinessCaseSummary,0,0,0,2009-09-21 20:00,0,2007-10-22 20:00,IRAP,BC,,,,,,,10441.85112,82463.19197,36921.27299,80844.83379,82839.29693,71552.91107,89962.64593,47301.73742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 24,BusinessCaseSummary,0,0,0,2009-09-22 20:00,0,2007-10-23 20:00,IRAP,BC,,,,,,,18871.87564,58242.36192,24526.25091,79641.18567,26759.94599,43963.57885,43576.07222,1725.674031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 25,BusinessCaseSummary,0,0,0,2009-09-23 20:00,0,2007-10-24 20:00,IRAP,BC,,,,,,,21462.43095,3623.056743,86754.76546,15238.95193,76305.35691,52621.42624,77844.17843,97119.50594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 26,BusinessCaseSummary,0,0,0,2009-09-24 20:00,0,2007-10-25 20:00,IRAP,BC,,,,,,,66290.82348,27329.17039,31034.0176,5511.685028,52048.85146,33550.44432,76908.85181,87234.14761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 27,BusinessCaseSummary,0,0,0,2009-09-25 20:00,0,2007-10-26 20:00,IRAP,BC,,,,,,,9778.716309,78857.19426,47155.34476,15507.13545,90262.45238,67643.30362,37862.29991,79526.6426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 28,BusinessCaseSummary,0,0,0,2009-09-26 20:00,0,2007-10-27 20:00,IRAP,BC,,,,,,,45710.13907,64514.25894,99556.13807,87811.12442,37828.00766,74052.72947,34755.63546,96288.50055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 29,BusinessCaseSummary,0,0,0,2009-09-27 20:00,0,2007-10-28 20:00,IRAP,BC,,,,,,,99422.73381,63686.90636,9618.392456,37805.89821,99903.13803,13187.42342,1949.070239,16924.59342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 30,BusinessCaseSummary,0,0,0,2009-09-28 20:00,0,2007-10-29 20:00,IRAP,BC,,,,,,,53955.52639,72519.50748,74678.15513,25181.738,34848.71251,48360.38159,76011.37275,63696.02157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 31,BusinessCaseSummary,0,0,0,2009-09-29 20:00,0,2007-10-30 20:00,IRAP,BC,,,,,,,5164.463911,9349.837947,53751.71279,81571.0089,56606.61742,87860.0749,39888.10131,3557.33263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 32,BusinessCaseSummary,0,0,0,2009-09-30 20:00,0,2007-10-31 20:00,IRAP,BC,,,,,,,604.7985358,96564.77897,32522.53079,60230.59945,85908.30605,86926.98686,78560.91572,28464.1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 33,BusinessCaseSummary,0,0,0,2009-10-01 20:00,0,2007-11-01 20:00,IRAP,BC,,,,,,,37075.47288,47274.02767,13691.49771,88029.9741,78892.94939,89337.40731,95894.81618,43306.32805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 34,BusinessCaseSummary,0,0,0,2009-10-02 20:00,0,2007-11-02 20:00,IRAP,BC,,,,,,,28704.2114,40058.47417,31840.14837,39473.9202,16951.06203,8336.967979,35823.49965,73909.20843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 35,BusinessCaseSummary,0,0,0,2009-10-03 20:00,0,2007-11-03 20:00,IRAP,BC,,,,,,,18627.86278,90162.05549,95878.25218,4758.493679,6437.956175,17706.43119,41387.35284,11086.69724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 36,BusinessCaseSummary,0,0,0,2009-10-04 20:00,0,2007-11-04 20:00,IRAP,BC,,,,,,,5304.782681,54867.23427,38837.75176,78843.67943,54695.40312,87738.55421,91819.42357,91818.5596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 37,BusinessCaseSummary,0,0,0,2009-10-05 20:00,0,2007-11-05 20:00,IRAP,BC,,,,,,,33416.59038,77180.53807,98110.54534,9201.878933,28068.45312,76843.71338,61801.71792,71041.85073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 38,BusinessCaseSummary,0,0,0,2009-10-06 20:00,0,2007-11-06 20:00,IRAP,BC,,,,,,,24818.31644,93357.73314,10167.2897,19496.88697,321.3504534,42853.79238,30676.17078,3364.138523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 39,BusinessCaseSummary,0,0,0,2009-10-07 20:00,0,2007-11-07 20:00,IRAP,BC,,,,,,,16327.61559,6376.698176,74715.46484,86003.34545,93547.79044,84252.54901,76167.37089,61373.78345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 40,BusinessCaseSummary,0,0,0,2009-08-31 20:00,0,2007-11-08 20:00,IRAP,BC,,,,,,,61521.9584,68478.03084,73374.58275,29769.5692,84056.07552,78042.20374,62201.95527,26611.3298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 41,BusinessCaseSummary,0,0,0,2009-09-01 20:00,0,2007-11-09 20:00,IRAP,BC,,,,,,,13330.05722,65577.45428,97541.45206,8220.003931,25606.58488,1148.444377,95281.8078,7580.511416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 42,BusinessCaseSummary,0,0,0,2009-09-02 20:00,0,2007-11-10 20:00,IRAP,BC,,,,,,,73721.6031,75714.30036,39565.23929,22193.44347,35180.04615,8020.017892,92618.27037,96094.90589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 43,BusinessCaseSummary,0,0,0,2009-09-03 20:00,0,2007-11-11 20:00,IRAP,BC,,,,,,,13924.45744,83256.06608,46127.64409,25767.81018,9335.167193,42256.44755,76586.79477,2479.317695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 44,BusinessCaseSummary,0,0,0,2009-09-04 20:00,0,2007-11-12 20:00,IRAP,BC,,,,,,,51431.7968,7047.716073,23945.39432,74020.44026,76762.21574,96649.24114,54934.19311,48059.96397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No-Non,1000000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,No-Non,2004,No-Non,TrainingText 45,BusinessCaseSummary,0,0,0,2009-09-05 20:00,0,2007-11-13 20:00,IRAP,BC,,,,,,,47981.41985,33517.28613,10236.22896,68719.469,20927.4072,49255.48999,52345.68058,63383.86091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
